"Période";"1. Production des combustibles minéraux solides (en kt)";"2. Importations totales des combustibles minéraux solides (en kt)";"3. Exportations totales des combustibles minéraux solides (en kt)";"4. Variation de stocks des combustibles minéraux solides (en kt)";"5. Consommation totale des combustibles minéraux solides (en kt)";"5.1 Consommation des combustibles minéraux solides pour la production d'électricité (en kt)";"5.2 Consommation des combustibles minéraux solides par les cokeries, usines d'agglomération et autres transformations (en kt)";"5.3 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) (en kt)";"5.4 Livraisons des combustibles minéraux solides à l'industrie (hors sidérurgie. y c. centrales électriques intégrées) (en kt)";"5.5 Livraisons réelles des combustibles minéraux solides au secteur résidentiel-tertiaire (en kt)";"6. Consommation des combustibles minéraux solides CVC-CJO (en kt)";"6.1 Consommation des combustibles minéraux solides pour la production d'électricité CVC-CJO (en kt)";"6.2 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) CVC-CJO (en kt)";"7. Consommation des combustibles minéraux solides CVS-CVC-CJO (en kt)";"7.1 Consommation des combustibles minéraux solides pour la production d'électricité CVS-CVC-CJO (en kt)";"7.2 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) CVS-CVC-CJO (en kt)";"8. Stocks des combustibles minéraux solides en fin de mois (en kt)";"9. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"10. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_CMS";"QIMP_CMS";"QEXP_CMS";"VSTO_CMS";"CI_CMS";"CPE_CMS";"CAT_CMS";"CSID_CMS";"LIND_CMS";"LRT_CMS";"CI_CMS_COR1";"CPE_CMS_COR1";"CSID_CMS_COR1";"CI_CMS_COR2";"CPE_CMS_COR2";"CSID_CMS_COR2";"ST_CMS";"DJU";"INDRIG"
"2009-09";3;1421;69;-448;1595.4;776;87.2;470.2;222;40;;;;1596.125;757.235;489.69;6813;0;1
"2009-02";24;1538;61;-748;1689.7;1021;98;369.7;160;41;;;;1498.2;812.811;386.389;6477;342.672;1.072
"2009-01";24;1275;78;-210;1707.3;1103;107.5;310.8;146;40;;;;1207.576;598.169;315.908;7225;456.461;1.23
"2007-07";39;1509;90;120;1655;515;128;695;271;46;;;;1801.342;689.898;666.443;5818;0;1
"2007-01";36;1608;76;-423;1861;760;135;687;233;46;;;;1785.177;703.217;667.959;5965;298.495;0.805
"2006-05";28;2094;66;420;1251;217;126;658;205;45;;;;1505.478;505.642;623.835;6001;69.934;0.892
"2006-01";64;2079;44;-274;2238;1173;127;674;215;49;;;;1808.9;778.035;639.865;4627;425.11;1.146
"2000-02";481;2030;67;-348;2465;1317;177;607;251;113;;;;2324.254;1153.067;630.187;5624;276.458;0.865
"1999-09";621;1294;73;-187;1875;755;177;610;248;85;;;;2089.485;906.727;672.758;7550;0;1
"1999-08";293;1482;31;55;1434;325;190;637;219;63;;;;1888.261;740.609;675.652;7737;0;1
"1996-04";751;1302;52;230;1771;711;182;600;312;127;;;;1949.192;745.982;582.21;8812;177.954;1.071
"1994-02";795;1104;75;-478;2302;998;;693;368;190;;;;;622.568;704.689;12204;309.982;0.97
"1992-11";1098;1743;69;688;2084;509;;545;479;266;;;;;124.174;567.479;12344;220.729;0.868
"1991-11";970;2204;99;-123;3198;1594;;716;483;277;;;;;1204.557;741.679;9409;289.47;1.139
"1988-09";1448;1191;224;163;2252;766;;710;446;281;;;;;;;11105;0;1
"1987-03";1654;1567;80;325;2816;1171;;751;412;313;;;;;;;10192;354.937;1.388
"1985-10";1716;1492;149;-698;3757;1834;;822;563;384;;;;;;;12105;151.161;1.214
"1985-08";970;1522;137;461;1894;553;;596;377;127;;;;;;;12790;0;1
"1983-01";2025;2172;73;-201;4325;2492;;701;320;451;;;;;;;14450;340.665;0.918
"1982-10";1868;2046;139;-678;4453;2819;;807;514;370;;;;;;;14979;154.881;1.244
"1981-03";2210;2888;118;783;4197;2270;;1002;314;413;;;;;;;13771;205.789;0.805
"1980-02";;;;;;;;;;;;;;;;;;286.527;0.896
"2016-06";0;952.02;50.558;-167.108;888.983;52.612;172.657;506.703;119.011;38;867.899;31.528;506.703;1066.682;232.964;504.05;4242.158;0;1
"2015-04";0;1333;0;185;1094.028;235;127;491.157;200.871;40;1085.929;226.901;491.157;1158.42;294.745;495.804;4029;141.988;0.855
"2013-12";17;1920;12;-45.48;1384.2;566.2;108;519;151;40;1438.878;620.878;519;1320.17;471.217;549.953;4877.52;341.833;0.969
"2013-11";26;1842;18;-79;1631;799;105;519;168;40;1621.543;789.543;519;1460.231;615.137;532.094;4923;280.871;1.105
"2012-02";24;1734;24;-805;1767;1016;91;457;164;39;;;;1265.801;517.812;453.989;6606;447.752;1.401
"2010-10";34;1255;4;-69;1591;751;98;498;198;46;;;;1336.827;499.349;495.478;7289;157.625;1.266
"2010-05";15.2;1674;9;-12.6;1344.9;415.3;100.6;605;177;47;;;;1573.625;686.562;562.463;6150.4;123.951;1.58
"2009-04";2;1446;25;524;976.75;439;98.3;268.45;130;41;;;;953.978;428.85;255.828;7309;135.179;0.814
"2008-01";50;1968;86;93;2018;949;137;626;259;47;;;;1885.333;819.173;623.16;5207;317.75;0.857
"2007-09";24;1465;96;-14;1741;737;128;575;255;46;;;;1805.695;771.057;605.638;6055;0;1
"2004-12";66;1933;68;12;1819;763;108;669;229;50;;;;1616.651;551.544;678.107;5587;392.699;1.113
"2004-04";79;1594;115;-191;1772;781;119;635;187;50;;;;1698.665;726.146;616.52;4736;175.608;1.057
"2003-02";239;1892;39;-607;2013;980;137;650;187;59;;;;1645.145;599.601;662.545;7145;360.232;1.127
"2000-07";160;1275;53;55;1759;586;197;669;249;58;;;;1986.302;841.438;640.864;7475;0;1
"2000-05";318;1859;92;1143;1364;187;150;669;297;61;;;;1724.764;593.472;623.292;7445;50.96;0.65
"2000-03";475;1794;75;729;2015;788;189;693;257;88;;;;1827.129;632.769;660.36;6353;260.986;1.02
"1999-05";442;1441;30;823;1435;241;197;672;257;68;;;;1831.742;679.521;630.22;7581;43.377;0.553
"1997-01";635;1238;55;-1312;3130;1784;173;658;328;218;;;;2356.656;1005.067;632.589;6729;459.215;1.238
"1996-06";720;1438;46;-113;2225;679;183;604;386;98;;;;2175.383;921.482;586.901;8907;0;1
"1995-12";604;1173;46;-161;1892;840;171;519;286;233;;;;1865.827;652.684;523.143;9302;393.291;1.115
"1995-10";777;1329;71;-275;2310;873;169;619;261;151;;;;2034.939;831.964;621.976;10023;58.615;0.471
"1995-06";801;1513;77;-9;2246;777;162;687;273;119;;;;2248.559;1029.628;664.93;10822;0;1
"1993-10";870;844;122;-172;1764;472;;584;398;234;;;;;470.979;594.472;14331;188.738;1.516
"1991-02";1219;1310;76;-1162;3615;2096;;690;259;328;;;;;1222.205;689.958;6115;409.899;1.282
"1990-05";1222;1862;90;956;2038;406;;748;514;118;;;;;740.617;703.459;8534;38.771;0.494
"1989-02";1312;1469;128;-671;3324;1460;;703;429;277;;;;;;;5831;303.151;0.948
"1987-01";1430;1631;127;-1044;3978;2194;;716;319;480;;;;;;;10393;563.627;1.519
"1986-04";1928;2246;99;696;3379;1509;;748;324;352;;;;;;;8003;273.481;1.647
"1985-02";1686;1333;212;-811;3618;1829;;844;378;430;;;;;;;9883;358.708;1.122
"1984-01";2074;2406;91;-370;4759;2767;;839;417;483;;;;;;;10653;372.969;1.005
"1983-11";1760;2039;156;-1082;4725;2876;;802;445;465;;;;;;;12758;271.731;1.069
"1982-02";1929;1889;164;-963;4617;2476;;939;321;407;;;;;;;16256;312.655;0.978
"1980-08";;;;;;;;;;;;;;;;;;0;1
"2016-12";0;1504.694;25.293;-7.801;1353.028;519.051;109.734;502.937;183.306;38;1293.994;460.018;502.937;1187.425;330.37;526.015;3797.363;373.202;1.058
"2015-06";0;820;0;-219;905.15;22;151;527.137;168.013;37;883.473;0.323;527.137;1107.98;226.986;524.981;4019;0;1
"2015-01";0;1373;0;-224;1508.762;636;109;527.059;196.703;40;1520.5;647.738;527.059;1292.599;451.655;495.241;4727;369.813;0.997
"2013-02";25;1711;3;-417;1806;1041;101;466;158;40;1646.044;871.37;475.674;1529.463;726.123;504.34;5554;383.934;1.201
"2012-08";34;1610;6;117;1229;474;102;455;158;40;;;;1461.355;698.349;463.006;5352;0;1
"2012-05";26;1282;35;-383;1212;345;105;539;184;39;;;;1437.841;609.676;500.165;5693;73.287;0.934
