"Période";"Prix au détail du gaz hors TVA tranches I1 à I5";"Prix au détail du gaz hors TVA tranche I1";"Prix au détail du gaz hors TVA tranche I2";"Prix au détail du gaz hors TVA tranche I3";"Prix au détail du gaz hors TVA tranche I4";"Prix au détail du gaz hors TVA tranche I5";"Prix au détail du gaz hors TVA tranche I6";"Prix au détail du gaz hors TVA toutes tranches"
"PERIODE";"PX_GAZ_I_TRANCHES_I1_I5";"PX_GAZ_I_I1";"PX_GAZ_I_I2";"PX_GAZ_I_I3";"PX_GAZ_I_I4";"PX_GAZ_I_I5";"PX_GAZ_I_I6";"PX_GAZ_I_TTES_TRANCHES"
"2008-01";3.3923;3.9296;3.5979;3.3206;2.9611;2.9308;;
"2006-12";;;;;;;;
"2006-07";;;;;;;;
"2006-05";;;;;;;;
"2006-03";;;;;;;;
"2004-05";;;;;;;;
"2003-12";;;;;;;;
"2003-11";;;;;;;;
"2003-08";;;;;;;;
"2003-04";;;;;;;;
"2002-04";;;;;;;;
"1998-07";;;;;;;;
"1997-12";;;;;;;;
"1997-02";;;;;;;;
"1996-11";;;;;;;;
"1995-09";;;;;;;;
"1995-05";;;;;;;;
"1995-01";;;;;;;;
"1992-02";;;;;;;;
"1991-01";;;;;;;;
"1990-08";;;;;;;;
"1990-05";;;;;;;;
"1989-12";;;;;;;;
"1987-05";;;;;;;;
"1987-02";;;;;;;;
"1986-09";;;;;;;;
"1984-09";;;;;;;;
"1982-10";;;;;;;;
"1979-05";;;;;;;;
"2014-04";4.0814;5.5609;4.8804;3.8676;3.1375;2.914;;
"2016-02";3.3218;4.7136;3.9616;3.3307;2.3944;1.7553;;
"2016-01";3.3218;4.7136;3.9616;3.3307;2.3944;1.7553;;
"2015-06";3.9187;5.572;4.4546;3.7717;3.037;2.5989;;
"2014-11";3.7927;6.1712;4.7371;3.7865;3.0608;2.6936;;
"2014-10";3.7927;6.1712;4.7371;3.7865;3.0608;2.6936;;
"2012-12";4.1012;6.4722;5.1315;4.0266;3.0822;2.9833;;
"2003-07";;;;;;;;
"2001-08";;;;;;;;
"2001-01";;;;;;;;
"2000-02";;;;;;;;
"1995-02";;;;;;;;
"1993-10";;;;;;;;
"1992-12";;;;;;;;
"1992-10";;;;;;;;
"1992-05";;;;;;;;
"1990-09";;;;;;;;
"1990-07";;;;;;;;
"1990-06";;;;;;;;
"1989-02";;;;;;;;
"1985-09";;;;;;;;
"1984-07";;;;;;;;
"1984-04";;;;;;;;
"1984-02";;;;;;;;
"1983-12";;;;;;;;
"1979-04";;;;;;;;
"1979-01";;;;;;;;
"2014-01";4.0814;5.5609;4.8804;3.8676;3.1375;2.914;;
"2013-11";3.9929;6.4926;4.9107;3.8685;3.1714;2.9772;;
"2013-06";4.2574;5.8853;4.9982;4.0468;3.1531;3.0585;;
"2012-10";4.1012;6.4722;5.1315;4.0266;3.0822;2.9833;;
"2012-07";4.1012;6.4722;5.1315;4.0266;3.0822;2.9833;;
"2010-12";3.508;4.7909;4.0472;3.4868;2.7692;2.5042;;
"2010-08";3.508;4.7909;4.0472;3.4868;2.7692;2.5042;;
"2008-08";3.8282;4.5394;4.0989;3.904;3.5102;3.378;;
"2008-07";3.8282;4.5394;4.0989;3.904;3.5102;3.378;;
"2008-04";3.3923;3.9296;3.5979;3.3206;2.9611;2.9308;;
"2004-04";;;;;;;;
"2004-02";;;;;;;;
"2003-05";;;;;;;;
"2000-10";;;;;;;;
"2000-09";;;;;;;;
"1996-10";;;;;;;;
"1995-11";;;;;;;;
"1993-04";;;;;;;;
"1989-01";;;;;;;;
"1987-10";;;;;;;;
"1987-01";;;;;;;;
"1986-05";;;;;;;;
"1985-06";;;;;;;;
"1982-05";;;;;;;;
"1981-10";;;;;;;;
"1980-09";;;;;;;;
"2015-05";3.9187;5.572;4.4546;3.7717;3.037;2.5989;;
"2015-04";3.9187;5.572;4.4546;3.7717;3.037;2.5989;;
"2014-05";4.0814;5.5609;4.8804;3.8676;3.1375;2.914;;
"2014-02";4.0814;5.5609;4.8804;3.8676;3.1375;2.914;;
"2012-06";4.0553;5.5569;4.7364;3.8919;3.0325;3.2719;;
"2012-05";4.0553;5.5569;4.7364;3.8919;3.0325;3.2719;;
"2012-01";4.0553;5.5569;4.7364;3.8919;3.0325;3.2719;;
"2008-12";3.8282;4.5394;4.0989;3.904;3.5102;3.378;;
"2007-07";3.1004;4.1234;3.4608;3.0625;2.7388;2.5678;;
"2005-07";;;;;;;;
"2004-06";;;;;;;;
"1998-06";;;;;;;;
"1996-08";;;;;;;;
"1994-12";;;;;;;;
"1994-09";;;;;;;;
"1994-06";;;;;;;;
"1993-11";;;;;;;;
"1990-02";;;;;;;;
"1986-11";;;;;;;;
"1986-10";;;;;;;;
"1986-06";;;;;;;;
"1986-02";;;;;;;;
"1984-10";;;;;;;;
"1983-06";;;;;;;;
"1981-06";;;;;;;;
"1980-02";;;;;;;;
"1979-06";;;;;;;;
"2017-02";3.3879;4.608;3.8889;3.3195;2.4712;2.0676;1.8921;3.2722
"2016-10";3.2525;4.9906;4.1384;3.7841;2.3971;2.2171;;
"2015-03";3.9187;5.572;4.4546;3.7717;3.037;2.5989;;
"2013-12";3.9929;6.4926;4.9107;3.8685;3.1714;2.9772;;
"2009-09";3.1781;4.3021;3.5097;3.1644;2.6787;2.4876;;
"2007-04";3.0684;3.68;3.4352;2.9946;2.6408;2.4168;;
"2007-03";3.0684;3.68;3.4352;2.9946;2.6408;2.4168;;
"2003-02";;;;;;;;
"2002-12";;;;;;;;
"2000-04";;;;;;;;
"1999-07";;;;;;;;
"1999-04";;;;;;;;
"1999-03";;;;;;;;
"1998-04";;;;;;;;
"1996-12";;;;;;;;
"1996-03";;;;;;;;
"1995-04";;;;;;;;
"1991-10";;;;;;;;
"1988-07";;;;;;;;
"1987-09";;;;;;;;
"1986-03";;;;;;;;
"1983-09";;;;;;;;
"1983-07";;;;;;;;
"1981-04";;;;;;;;
"1980-05";;;;;;;;
"1980-01";;;;;;;;
"2017-08";3.3442;5.0469;4.0808;3.4529;2.3616;2.0429;1.8845;3.1906
"2016-03";3.3218;4.7136;3.9616;3.3307;2.3944;1.7553;;
"2015-02";3.9187;5.572;4.4546;3.7717;3.037;2.5989;;
"2012-11";4.1012;6.4722;5.1315;4.0266;3.0822;2.9833;;
"2012-04";4.0553;5.5569;4.7364;3.8919;3.0325;3.2719;;
"2012-03";4.0553;5.5569;4.7364;3.8919;3.0325;3.2719;;
"2011-10";3.7389;5.4732;4.5571;3.7727;2.8576;2.9814;;
"2009-06";3.7245;4.4746;4.0321;3.6002;3.0632;2.671;;
"2009-05";3.7245;4.4746;4.0321;3.6002;3.0632;2.671;;
"2009-03";3.7245;4.4746;4.0321;3.6002;3.0632;2.671;;
"2009-01";3.7245;4.4746;4.0321;3.6002;3.0632;2.671;;
"2008-10";3.8282;4.5394;4.0989;3.904;3.5102;3.378;;
"2006-02";;;;;;;;
"2002-02";;;;;;;;
"1999-12";;;;;;;;
"1999-10";;;;;;;;
"1999-05";;;;;;;;
"1999-01";;;;;;;;
"1998-12";;;;;;;;
"1998-08";;;;;;;;
"1995-10";;;;;;;;
"1991-04";;;;;;;;
"1989-08";;;;;;;;
"1988-08";;;;;;;;
"1988-02";;;;;;;;
"1986-12";;;;;;;;
"1985-10";;;;;;;;
"1985-08";;;;;;;;
"1984-06";;;;;;;;
"1984-03";;;;;;;;
"1981-03";;;;;;;;
"1981-02";;;;;;;;
"1980-12";;;;;;;;
